//Palssonse.colicoremodel
//name,reactants,products,reverse,forward
ACALD,[c]:acald+coa+nad,accoa+h+nadh,-inf,inf
ACALDt,acald[e],acald[c],-inf,inf
ACKr,[c]:ac+atp,actp+adp,-inf,inf
ACONTa,[c]:cit,acon-C+h2o,-inf,inf
ACONTb,[c]:acon-C+h2o,icit,-inf,inf
ACt2r,ac[e]+h[e],ac[c]+h[c],-inf,inf
ADK1,[c]:amp+atp,2*adp,-inf,inf
AKGDH,[c]:akg+coa+nad,co2+nadh+succoa,0,inf
AKGt2r,akg[e]+h[e],akg[c]+h[c],-inf,inf
ALCD2x,[c]:etoh+nad,acald+h+nadh,-inf,inf
ATPM,[c]:atp+h2o,adp+h+pi,0,inf
ATPS4r,adp[c]+4*h[e]+pi[c],atp[c]+3*h[c]+h2o[c],-inf,inf
Biomass_Ecoli_core_w/GAM,[c]:1.496*3pg+3.7478*accoa+59.8100*atp+0.3610*e4p+0.0709*f6p+0.1290*g3p+0.2050*g6p+0.2557*gln-L+4.9414*glu-L+59.8100*h2o+(3.5470)nad+(13.0279)nadph+(1.7867)oaa+(0.5191)pep+(2.8328)pyr+(0.8977)r5p,(59.8100)adp+(4.1182)akg+(3.7478)coa+(59.8100)h+(3.5470)nadh+(13.0279)nadp+(59.8100)pi,0,inf
CO2t,co2[e],co2[c],-inf,inf
CS,[c]:accoa+h2o+oaa,cit+coa+h,0,inf
CYTBD,2*h[c]+(0.5)o2[c]+q8h2[c],(2)h[e]+h2o[c]+q8[c],0,inf
D_LACt2,h[e]+lac-D[e],h[c]+lac-D[c],-inf,inf
ENO,[c]:2pg,h2o+pep,-inf,inf
ETOHt2r,etoh[e]+h[e],etoh[c]+h[c],-inf,inf
EX_ac(e),[e]:ac,[c]:ac,-inf,inf
EX_acald(e),[e]:acald,[c]:acald,-inf,inf
EX_akg(e),[e]:akg,[c]:akg,-inf,inf
EX_co2(e),[e]:co2,[c]:co2,-inf,inf
EX_etoh(e),[e]:etoh,[c]:etoh,-inf,inf
EX_for(e),[e]:for,[c]:for,-inf,inf
EX_fru(e),[e]:fru,[c]:fru,-inf,inf
EX_fum(e),[e]:fum,[c]:fum,-inf,inf
EX_glc(e),[e]:glc-D,[c]:glc-D,-inf,inf
EX_gln_L(e),[e]:gln-L,[c]:gln-L,-inf,inf
EX_glu_L(e),[e]:glu-L,[c]:glu-L,-inf,inf
EX_h(e),[e]:h,[c]:h,-inf,inf
EX_h2o(e),[e]:h2o,[c]:h2o,-inf,inf
EX_lac_D(e),[e]:lac-D,[c]:lac-D,-inf,inf
EX_mal_L(e),[e]:mal-L,[c]:mal-L,-inf,inf
EX_nh4(e),[e]:nh4,[c]:nh4,-inf,inf
EX_o2(e),[e]:o2,[c]:o2,-inf,inf
EX_pi(e),[e]:pi,[c]:pi,-inf,inf
EX_pyr(e),[e]:pyr,[c]:pyr,-inf,inf
EX_succ(e),[e]:succ,[e]:succ,-inf,inf
FBA,[c]:fdp,dhap+g3p,-inf,inf
FBP,[c]:fdp+h2o,f6p+pi,0,inf
FORt2,for[e]+h[e],for[c]+h[c],0,inf
FORti,for[c],for[e],0,inf
FRD7,[c]:fum+q8h2,q8+succ,0,inf
FRUpts2,fru[e]+pep[c],f6p[c]+pyr[c],0,inf
FUM,[c]:fum+h2o,mal-L,-inf,inf
FUMt2_2,fum[e]+(2)h[e],fum[c]+(2)h[c],0,inf
G6PDH2r,[c]:g6p+nadp,6pgl+h+nadph,-inf,inf
